nom,prix_texte,prix,adresse,image_lien,categorie,date_scraping,adresse_complete,quartier,ville,pays
Chiots Berger Malinois X,200 000 CFA,200000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5701157_uploaded_image1_1767442861.jpg,chiens,2026-01-05 09:37:11,"Sicap Liberté, Dakar, Sénégal",Sicap Liberté,Dakar,Sénégal
Chiots malinois,Prix sur demande,,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5699953_uploaded_image1_1767376903.jpg,chiens,2026-01-05 09:37:15,"Rufisque, Sénégal",Rufisque,Sénégal,
Berger Allemand,200 000 CFA,200000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5697068_uploaded_image1_1767154390.jpg,chiens,2026-01-05 09:37:19,"Sicap Liberté, Dakar, Sénégal",Sicap Liberté,Dakar,Sénégal
Chiot malinois,250 CFA,250.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5690476_uploaded_image1_1766764470.jpg,chiens,2026-01-05 09:37:21,"Thies, Sénégal",Thies,Sénégal,
Chiot Labrador,250 000 CFA,250000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5672239_uploaded_image1_1765736340.jpg,chiens,2026-01-05 09:37:24,"Guediawaye, Dakar, Sénégal",Guediawaye,Dakar,Sénégal
Chiots Dogue Argentin,Prix sur demande,,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671568_uploaded_image1_1765675623.jpg,chiens,2026-01-05 09:37:27,"Almadies 2, Dakar, Sénégal",Almadies 2,Dakar,Sénégal
Chiots Rottweiler,Prix sur demande,,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671567_uploaded_image1_1765675459.jpg,chiens,2026-01-05 09:37:31,"Almadies 2, Dakar, Sénégal",Almadies 2,Dakar,Sénégal
Chiots Husky,Prix sur demande,,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671564_uploaded_image1_1765675272.jpg,chiens,2026-01-05 09:37:34,"Almadies 2, Dakar, Sénégal",Almadies 2,Dakar,Sénégal
Chiots labradors,300 000 CFA,300000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5667947_uploaded_image1_1765469989.jpg,chiens,2026-01-05 09:37:41,"Guediawaye, Dakar, Sénégal",Guediawaye,Dakar,Sénégal
Chiot Husky,350 000 CFA,350000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5664078_uploaded_image1_1765299555.jpg,chiens,2026-01-05 09:37:44,"Sicap Liberté, Dakar, Sénégal",Sicap Liberté,Dakar,Sénégal
Berger malinois charbonner,250 CFA,250.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5649558_uploaded_image1_1764572984.jpg,chiens,2026-01-05 09:37:47,"Thies, Sénégal",Thies,Sénégal,
Chiot Bichon Maltais,100 000 CFA,100000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5644579_uploaded_image1_1764272051.jpg,chiens,2026-01-05 09:37:50,"Almadies, Dakar, Sénégal",Almadies,Dakar,Sénégal
Chiot Berger Malinois,150 000 CFA,150000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5628715_uploaded_image1_1763500388.jpg,chiens,2026-01-05 09:38:12,"Almadies 2, Dakar, Sénégal",Almadies 2,Dakar,Sénégal
Parfum Presa Canario,Prix sur demande,,"Thies, Sénégal",https://images.coinafrique.com/thumb_5617572_uploaded_image1_1762928156.jpg,chiens,2026-01-05 09:38:18,"Thies, Sénégal",Thies,Sénégal,
Chiot Malinois,125 000 CFA,125000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616738_uploaded_image1_1762882607.jpg,chiens,2026-01-05 09:38:20,"Mbao, Dakar, Sénégal",Mbao,Dakar,Sénégal
Chiots Border Collie,140 000 CFA,140000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616729_uploaded_image1_1762882207.jpg,chiens,2026-01-05 09:38:24,"Almadies, Dakar, Sénégal",Almadies,Dakar,Sénégal
Berger Belge Malinois,Prix sur demande,,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616008_uploaded_image1_1762860338.jpg,chiens,2026-01-05 09:38:27,"Sicap Liberté, Dakar, Sénégal",Sicap Liberté,Dakar,Sénégal
Chiot,60 000 CFA,60000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg,chiens,2026-01-05 09:38:32,"Dieuppeul-Derklé, Dakar, Sénégal",Dieuppeul-Derklé,Dakar,Sénégal
Chiot Pitbull Tricolor,120 000 CFA,120000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5610458_uploaded_image1_1762521942.jpg,chiens,2026-01-05 09:38:35,"Thies, Sénégal",Thies,Sénégal,
Chiot Labrador,400 000 CFA,400000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5603738_uploaded_image1_1762199868.jpg,chiens,2026-01-05 09:38:39,"Sicap Liberté, Dakar, Sénégal",Sicap Liberté,Dakar,Sénégal
Chiot Bichon maltais,125 000 CFA,125000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5601862_uploaded_image1_1762106679.jpg,chiens,2026-01-05 09:38:42,"Mariste, Dakar, Sénégal",Mariste,Dakar,Sénégal
Chiot Pitbull,Prix sur demande,,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5599056_uploaded_image1_1761928314.jpg,chiens,2026-01-05 09:38:46,"Hann Bel-Air, Dakar, Sénégal",Hann Bel-Air,Dakar,Sénégal
Chiot Berger Allemand,250 000 CFA,250000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5575546_uploaded_image1_1760547251.jpg,chiens,2026-01-05 09:39:03,"Sacré-Coeur, Dakar, Sénégal",Sacré-Coeur,Dakar,Sénégal
Bichon Maltais frisé,150 000 CFA,150000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572179_uploaded_image1_1760379385.jpg,chiens,2026-01-05 09:39:06,"Mermoz-Sacré Coeur, Dakar, Sénégal",Mermoz-Sacré Coeur,Dakar,Sénégal
Chiot Presa Canario,650 000 CFA,650000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5565180_uploaded_image1_1759957391.jpg,chiens,2026-01-05 09:39:10,"Thies, Sénégal",Thies,Sénégal,
Chiot Berger Allemand,300 000 CFA,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg,chiens,2026-01-05 09:39:13,"Dakar, Sénégal",Dakar,Sénégal,
Chiot Husky Sibérien vacciné,400 000 CFA,400000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5560240_uploaded_image1_1759709034.jpg,chiens,2026-01-05 09:39:17,"Sicap Liberté, Dakar, Sénégal",Sicap Liberté,Dakar,Sénégal
Chiots Berger Allemand,130 000 CFA,130000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5560003_uploaded_image1_1759693627.jpg,chiens,2026-01-05 09:39:20,"Diamniadio, Sénégal",Diamniadio,Sénégal,
Croquettes pour chiens,28 000 CFA,28000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5537867_uploaded_image1_1758544788.jpg,chiens,2026-01-05 09:39:30,"Ouakam, Dakar, Sénégal",Ouakam,Dakar,Sénégal
Chiot Bichon nain,200 000 CFA,200000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5530652_uploaded_image1_1758128841.jpg,chiens,2026-01-05 09:39:33,"Sicap Liberté, Dakar, Sénégal",Sicap Liberté,Dakar,Sénégal
Husky pur sang femelle,250 000 CFA,250000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528570_uploaded_image1_1758035685.jpg,chiens,2026-01-05 09:39:37,"Ouakam, Dakar, Sénégal",Ouakam,Dakar,Sénégal
Chiot pitbull,Prix sur demande,,"Thies, Sénégal",https://images.coinafrique.com/thumb_5528346_uploaded_image1_1758029532.jpg,chiens,2026-01-05 09:39:42,"Thies, Sénégal",Thies,Sénégal,
Chiot pitbull,100 000 CFA,100000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_5528337_uploaded_image1_1758029337.jpg,chiens,2026-01-05 09:39:44,"Thies, Sénégal",Thies,Sénégal,
Chiot Boerboel,375 000 CFA,375000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524708_uploaded_image1_1757840142.jpg,chiens,2026-01-05 09:39:47,"Sicap Liberté, Dakar, Sénégal",Sicap Liberté,Dakar,Sénégal
Chiot  Husky,350 000 CFA,350000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524610_uploaded_image1_1757831632.jpg,chiens,2026-01-05 09:39:51,"Sacré-Coeur, Dakar, Sénégal",Sacré-Coeur,Dakar,Sénégal
Chiot Rottweiler,250 000 CFA,250000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5524392_uploaded_image1_1757805590.jpg,chiens,2026-01-05 09:39:54,"Pikine, Sénégal",Pikine,Sénégal,
