nom,prix,adresse,image_lien
Chaton,750 000 CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5673754_uploaded_image1_1765818969.jpg
Chaton Persan,650 000 CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5673747_uploaded_image1_1765818767.jpg
British Long Hair Blue,750 000 CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5673744_uploaded_image1_1765818608.jpg
Chaton 1,750 000 CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5673743_uploaded_image1_1765818498.jpg
Taureau,2 500 000 CFA,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5634272_uploaded_image1_1763756384.jpg
Vache,350 000 CFA,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5587581_uploaded_image1_1761220550.jpg
Taureau métis d'insémination,2 500 000 CFA,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5543760_uploaded_image1_1758829182.jpg
Taureau métis,2 500 000 CFA,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5538746_uploaded_image1_1758579115.jpg
Chaton Scottish,750 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5473342_uploaded_image1_1755076567.jpg
Chaton persan,400 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5473339_uploaded_image1_1755076399.jpg
Chat Siamois,250 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5435961_uploaded_image1_1753216346.jpg
Chatons,200 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5426216_uploaded_image1_1752670435.jpg
Taureaux,950 000 CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_5419672_uploaded_image1_1752312673.jpg
Veau,6 500 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5363603_uploaded_image1_1749256640.jpg
Chaton 2,350 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344588_uploaded_image1_1748177635.jpg
Boeuf,350 000 CFA,"Bambey, Sénégal",https://images.coinafrique.com/thumb_5317378_uploaded_image1_1746698849.jpg
Chat Persan,450 000 CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5297087_uploaded_image1_1745527617.jpg
Chaton 3,375 000 CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5278827_uploaded_image1_1744477884.jpg
Chaton Scottish 1,500 000 CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5234859_uploaded_image1_1742137563.jpg
Chaton Angora,210 000 CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5213818_uploaded_image1_1741086286.jpg
Chaton Siamois,235 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5092278_uploaded_image1_1734215302.jpg
Bœuf,800 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054269_uploaded_image1_1732160455.jpg
Bœuf 1,800 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5054268_uploaded_image1_1732160128.jpg
Chat Persan 1,400 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5050095_uploaded_image1_1731948012.jpg
Bœufs,800 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5042261_uploaded_image1_1731516188.jpg
Himalayen,265 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041105_uploaded_image1_1731466674.jpg
persan pure race,400 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041103_uploaded_image1_1731467091.jpg
British et scottish pure race,650 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5041101_uploaded_image1_1731465886.jpg
Bœuf 2,300 000 CFA,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5022926_uploaded_image1_1730540052.jpg
Bœuf 3,700 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4996496_uploaded_image1_1729075617.jpg
Perroquet,399 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4967605_uploaded_image1_1727643698.jpg
Pintade noire,800 000 CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942157_uploaded_image1_1726204107.jpg
Chat,350 000 CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4928423_uploaded_image1_1725508257.jpg
Vache 1,350 000 CFA,"Gassane, Sénégal",https://images.coinafrique.com/thumb_4864739_uploaded_image1_1722168896.jpg
Siamois,200 000 CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4855435_uploaded_image1_1721662817.jpg
Vache montbéliardes,2 000 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4851931_uploaded_image2_1721447498.jpeg
Persan pure race,500 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4818301_uploaded_image1_1719774491.jpg
Chatons Persan pure race,430 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4808981_uploaded_image1_1719268557.jpg
Scottish fold et scottish straight de race pure,700 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4808971_uploaded_image1_1719267956.jpg
Chat scotish,750 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4803206_uploaded_image1_1718912151.jpg
Chat Siamois 1,300 000 CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723220_uploaded_image1_1714727016.jpg
Chaton Himalayen,270 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4642742_uploaded_image1_1710476161.jpg
Chaton Hymalayen Persan,270 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639205_uploaded_image1_1710275204.jpg
Chat Brittish Shorthair,700 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4629619_uploaded_image1_1709768692.jpg
Chat Persan Chinchilla,400 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623023_uploaded_image1_1709471973.jpg
