nom,prix,adresse,image_lien
Chiots Berger Malinois X,200 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5701157_uploaded_image1_1767442861.jpg
Chiots malinois,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5699953_uploaded_image1_1767376903.jpg
Berger Allemand,200 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5697068_uploaded_image1_1767154390.jpg
Chiot malinois,250 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5690476_uploaded_image1_1766764470.jpg
Chiot Labrador,250 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5672239_uploaded_image1_1765736340.jpg
Chiots Dogue Argentin,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671568_uploaded_image1_1765675623.jpg
Chiots Rottweiler,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671567_uploaded_image1_1765675459.jpg
Chiots Husky,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671564_uploaded_image1_1765675272.jpg
Chiots Spizt,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671563_uploaded_image1_1765674976.jpg
Chiots labradors,300 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5667947_uploaded_image1_1765469989.jpg
Chiot Husky,350 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5664078_uploaded_image1_1765299555.jpg
Berger malinois charbonner,250 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5649558_uploaded_image1_1764572984.jpg
Chiot Bichon Maltais,100 000 CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5644579_uploaded_image1_1764272051.jpg
Chiots Labradors Retriever,300 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640905_uploaded_image1_1764096718.jpg
Chiot Malinois,200 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5628892_uploaded_image1_1763507006.jpg
Chiot Berger Malinois,150 000 CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5628715_uploaded_image1_1763500388.jpg
Parfum Presa Canario,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5617572_uploaded_image1_1762928156.jpg
Chiot Malinois,125 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616738_uploaded_image1_1762882607.jpg
Chiots Border Collie,140 000 CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616729_uploaded_image1_1762882207.jpg
Berger Belge Malinois,Prix sur demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616008_uploaded_image1_1762860338.jpg
Chiot,60 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg
Chiot Pitbull Tricolor,120 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5610458_uploaded_image1_1762521942.jpg
Chiot Labrador,400 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5603738_uploaded_image1_1762199868.jpg
Chiot Bichon maltais,125 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5601862_uploaded_image1_1762106679.jpg
Chiot Pitbull,Prix sur demande,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5599056_uploaded_image1_1761928314.jpg
Chiot American,170 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5579814_uploaded_image1_1760778039.jpg
Chiot Berger Allemand,250 000 CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5575546_uploaded_image1_1760547251.jpg
Bichon Maltais frisé,150 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572179_uploaded_image1_1760379385.jpg
Chiot Husky Sibérien vacciné,400 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5560240_uploaded_image1_1759709034.jpg
Chiots Berger Allemand,130 000 CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5560003_uploaded_image1_1759693627.jpg
Chiot Golden Retriever,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5540468_uploaded_image1_1758664107.jpg
