web_scraper_order,web_scraper_start_url,Nom,prix,adresse,image_lien
"1767562794-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1767562794-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vaches laitières","2 000 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg"
"1767562794-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chèvre Bouc de race","200 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2675855_uploaded_image1_1601992602.jpg"
"1767562794-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bouc chèvre","100 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_2673741_uploaded_image2_1601909107.jpeg"
"1767562794-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Paon bleu","225 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2663712_uploaded_image1_1601554766.jpg"
"1767562794-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chatons","Prix sur demande","Gorée, Dakar, Sénégal","https://images.coinafrique.com/thumb_2637004_uploaded_image1_1600508302.jpg"
"1767562794-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oie","100 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2630503_uploaded_image1_1600266971.jpg"
"1767562794-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oiseau Maknol","Prix sur demande","Kaffrine, Sénégal","https://images.coinafrique.com/thumb_2583338_uploaded_image1_1598650419.jpg"
"1767562794-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","80 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg"
"1767562794-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vaches hollandaises","Prix sur demande","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg"
"1767562794-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Géniteur hollandais Holstein","1 200 000CFA","Mboro, Sénégal","https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg"
"1767562794-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Dindes","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_2421638_uploaded_image1_1594369039.jpg"
"1767562794-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Souris blanc","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407511_uploaded_image1_1594131854.jpg"
"1767562794-14","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Couples Paons","250 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2394305_uploaded_image2_1593898972.jpeg"
"1767562794-15","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chat blanc turc","150 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2388043_uploaded_image1_1593787521.jpg"
"1767562794-16","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Dinde","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2351112_uploaded_image1_1593181120.jpg"
"1767562794-17","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Kittens / chatons","90 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg"
"1767562794-18","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2296024_uploaded_image1_1592332889.jpg"
"1767562794-19","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","130 000CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg"
"1767562794-20","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vache","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2276153_uploaded_image1_1592008517.jpg"
"1767562794-21","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","1 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2275120_uploaded_image1_1591990153.jpg"
"1767562794-22","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Taureau Nélore","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2251055_uploaded_image1_1591656431.jpg"
"1767562794-23","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chaton york chocolat","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2240976_uploaded_image1_1591487576.jpg"
"1767562794-24","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeufs","600 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_2239779_uploaded_image1_1591466346.jpg"
"1767562794-25","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Poussins brahman et cochin","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2230369_uploaded_image1_1591316836.jpg"
"1767562794-26","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeufs","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2161624_uploaded_image1_1590236359.jpg"
"1767562794-27","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœuf élevage","750 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2147334_uploaded_image1_1590007941.jpg"
"1767562794-28","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2101700_uploaded_image1_1589308300.jpg"
"1767562794-29","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2088141_uploaded_image1_1589099089.jpg"
"1767562794-30","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chèvre Race Boer","650 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2061898_uploaded_image1_1588694077.jpg"
"1767562794-31","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chaton persan blanc","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2052355_uploaded_image1_1588568181.jpg"
"1767562794-32","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chaton persan chinchilla","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2025374_uploaded_image1_1588119661.jpg"
"1767562794-33","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","475CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg"
"1767562794-34","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chaton","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1962491_uploaded_image1_1587134135.76.jpeg"
"1767562794-35","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1954085_uploaded_image1_1587026162.65.jpeg"
"1767562794-36","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vaches","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png"
"1767562794-37","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chaton Persan","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935403_uploaded_image1_1586726495.69.png"
"1767562794-38","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1934309_uploaded_image1_1586712626.03.png"
"1767562794-39","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chat Siamois","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1899735_uploaded_image1_1586139854.78.png"
"1767562794-40","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Dindon rouge","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png"
"1767562794-41","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chat siamois","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png"
"1767562794-42","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœuf","600 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1606230_uploaded_image1_1581008311.59.png"
"1767562794-43","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeufs","750 000CFA","Tambacounda, Sénégal","https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png"
"1767562794-44","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Couple de chèvre","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1521675_uploaded_image1_1579700066.65.png"
"1767562794-45","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vaches","275 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png"
"1767562794-46","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœuf","700 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_1495773_uploaded_image1_1579276951.77.png"
"1767562794-47","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Dindes - canards et colverts","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png"
"1767562794-48","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Biscuit en poudre pour betail","4 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png"
"1767562794-49","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png"
"1767562794-50","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453830_uploaded_image1_1578583361.91.png"
"1767562794-51","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1441558_uploaded_image1_1578406878.24.png"
"1767562794-52","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1767562794-53","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cheval","400 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png"
"1767562794-54","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cheval","400 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png"
"1767562794-55","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies de guinée","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png"
"1767562794-56","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1395711_uploaded_image1_1577438640.7.png"
"1767562794-57","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png"
"1767562794-58","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oiseaux exotiques","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png"
"1767562794-59","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png"
"1767562794-60","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cailles","12 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1376905_uploaded_image1_1577034747.91.png"
"1767562794-61","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1322739_uploaded_image1_1576006817.07.png"
"1767562794-62","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","60 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1311792_uploaded_image1_1575817543.97.png"
"1767562794-63","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png"
"1767562794-64","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","350 000CFA","Sénégal","https://images.coinafrique.com/thumb_1198114_uploaded_image1_1573729988.56.png"
"1767562794-65","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png"
"1767562794-66","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Mouton ladoum pure sang","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png"
"1767562794-67","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies  bourbonaises","50 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png"
"1767562794-68","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Caille","1 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_931708_uploaded_image1_1568194736.45.png"
