web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1767551331-1","https://sn.coinafrique.com/categorie/chiens?page=11","Spitz nain","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-2","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Chowchow","990 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-3","https://sn.coinafrique.com/categorie/chiens?page=11","Bebé Lhasa Apso","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-4","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Dalmatiens","450 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-5","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Berger Allemand","350 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-6","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Shih-Tzu","250 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-7","https://sn.coinafrique.com/categorie/chiens?page=11","Chien Pitbull","150 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-8","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Cane Corso","500 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-9","https://sn.coinafrique.com/categorie/chiens?page=11","Bichon maltais","170 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-10","https://sn.coinafrique.com/categorie/chiens?page=11","Bergers - labrador - pitbull - rottweiler","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-11","https://sn.coinafrique.com/categorie/chiens?page=11","Bichons malté","180 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-12","https://sn.coinafrique.com/categorie/chiens?page=11","Berger blanc","200 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-13","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Berger Allemand de race pure","125 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-14","https://sn.coinafrique.com/categorie/chiens?page=11","Pitbull","90 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-15","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Berger Allemand","350 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-16","https://sn.coinafrique.com/categorie/chiens?page=11","Chien Rottweiler","375 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-17","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot berger allemand","200 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-18","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot akita américain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-19","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots","350 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-20","https://sn.coinafrique.com/categorie/chiens?page=11","Boerboel femelle","400 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-21","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Cane Corso","800 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-22","https://sn.coinafrique.com/categorie/chiens?page=11","Pitbull black nose","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-23","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Cane Corso","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-24","https://sn.coinafrique.com/categorie/chiens?page=11","Chien berger allemand à poil long","200 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-25","https://sn.coinafrique.com/categorie/chiens?page=11","Caniche bichons maltais","190 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-26","https://sn.coinafrique.com/categorie/chiens?page=11","Pitbull Red Nose","220 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-27","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Boerboel","450 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-28","https://sn.coinafrique.com/categorie/chiens?page=11","Caniche bichon","200 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-29","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Pitbull","250 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551331-30","https://sn.coinafrique.com/categorie/chiens?page=11","Pitt Bull red nose femelle","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1767551334-31","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot  Chiuawa","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-32","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Kangal","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-33","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Bulldog","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-34","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Doberman","650 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-35","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Boerboel","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-36","https://sn.coinafrique.com/categorie/chiens?page=10","Femelle pitbull","120 000CFA","Bargny, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-37","https://sn.coinafrique.com/categorie/chiens?page=10","Canish","250 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-38","https://sn.coinafrique.com/categorie/chiens?page=10","Malinois","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-39","https://sn.coinafrique.com/categorie/chiens?page=10","Belger allemand","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-40","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots berger allemand","250 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-41","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots shih tzu","250 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-42","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger Allemand","150 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-43","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger malinois","250 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-44","https://sn.coinafrique.com/categorie/chiens?page=10","Chien chiwawa","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-45","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Rottweiler","300 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-46","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand","175 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-47","https://sn.coinafrique.com/categorie/chiens?page=10","Chiens  Berger allemand","200 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-48","https://sn.coinafrique.com/categorie/chiens?page=10","Yorkshire toy femelle","750 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-49","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Bichons Maltais","195 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-50","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Malinois","200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-51","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-52","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots bichons","200 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-53","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots malinois","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-54","https://sn.coinafrique.com/categorie/chiens?page=10","Malinois pur sang","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-55","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Caniche","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-56","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-57","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot yorkie","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-58","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-59","https://sn.coinafrique.com/categorie/chiens?page=10","Chien berger malinois","150 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-60","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Bichons","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-61","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","240 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-62","https://sn.coinafrique.com/categorie/chiens?page=10","Berger Allemand femelle","250 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-63","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Rottweiler","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-64","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger","160 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-65","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger blanc","170 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-66","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots berger belge malinois","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-67","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots berger allemand","175 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-68","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand pur sang","150 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-69","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand pure sang","150 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-70","https://sn.coinafrique.com/categorie/chiens?page=10","Berger blanc suisse","150 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-71","https://sn.coinafrique.com/categorie/chiens?page=10","Chien","65 000CFA","Gibraltar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-72","https://sn.coinafrique.com/categorie/chiens?page=10","Bichons","350 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-73","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-74","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Yorkie_Chon","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-75","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Rottweiler","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-76","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots rockweile","290 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-77","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Yorkshire/caniche","200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-78","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger Amstaff","130 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-79","https://sn.coinafrique.com/categorie/chiens?page=10","Berger malinois charboné","300 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-80","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Can Corso","300 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-81","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger Allemand","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-82","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-83","https://sn.coinafrique.com/categorie/chiens?page=10","Femelles  métisse rock / 4 chiennes","50 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-84","https://sn.coinafrique.com/categorie/chiens?page=10","CHiots Pitbull","90 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-85","https://sn.coinafrique.com/categorie/chiens?page=10","Chien","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-86","https://sn.coinafrique.com/categorie/chiens?page=10","Chien","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-87","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Labrador","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-88","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot boxer","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-89","https://sn.coinafrique.com/categorie/chiens?page=10","Chiens Malinois","300 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-90","https://sn.coinafrique.com/categorie/chiens?page=10","Métisse chiots rottweiler","50 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-91","https://sn.coinafrique.com/categorie/chiens?page=10","Labrador","200 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1767551334-92","https://sn.coinafrique.com/categorie/chiens?page=10","Bulldog anglais","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
